artist_id,genres,artist_popularity,artist_followers
5e4Dhzv426EvQe3aDb64jL,country,74,3281402
5HZtdKfC4xU0wvhEyYDWiY,v-pop|vietnamese hip hop|vietnamese lo-fi|vietnam indie|vinahouse,68,2298573
3UVC7gRDvB44DLq56iF1r9,vocaloid,22,965
6NF9Oa4ThQWCj6mogFSrVD,v-pop|vietnamese lo-fi|vietnamese hip hop|vietnam indie,59,1622083
5WUlDfRSoLAfcVSX1WnrxN,,86,29890567
1y28JlO6rDMUB5rkcA4RAh,v-pop|vietnam indie|vietnamese hip hop,53,191785
3JWanDWTtkHRjViiNylONv,,26,307
5q4pPTzefHs5kUuBSQSHbJ,lo-fi beats,33,5811
4QC0ZIhtfKdj6Y8YdXoy8x,,57,7929
3e7awlrlDSwF3iM0WBjGMp,,75,12276990
4AK6F7OLvEQ5QYCBNiQWHq,,86,39572681
30eFAXoU2kTjJPf2cq80B8,v-pop|vietnamese hip hop|vietnam indie,59,454135
5cj0lLjcoR7YOSnhnX0Po5,,87,33319520
0dBcEvEklr1jx4uZuhFX5e,v-pop|vietnamese hip hop|vietnam indie,62,318933
6zUWZmyi5MLOEynQ5wCI5f,v-pop|vietnamese hip hop|vietnam indie|vietnamese lo-fi|vinahouse,62,1152910
57vWImR43h4CaDao012Ofp,,81,5974779
3HD3V1nGFPwepBO7064Ij0,vietnamese hip hop|vietnamese lo-fi|v-pop|vietnam indie,54,156802
5a2EaR3hamoenG9rDuVn8j,funk rock,73,7700838
2aQnC3DbZB9GbauvhAw7ve,v-pop|vietnamese hip hop|vietnam indie,59,1563630
41o2x1AJ6KzUiz6JxYtCtJ,vietnam indie|v-pop|vietnamese lo-fi,45,72166
1m7V9rstnZ264nGJe9MDUq,,67,38113
1Jmkhzve9TuXHUUWGmpANw,vietnamese hip hop|v-pop,65,557278
1n9JKdEdLxrbgJiqz1WZFJ,v-pop|vinahouse|vietnamese lo-fi,55,356110
2WzaAvm2bBCf4pEhyuDgCY,,73,4227777
5zT1Ku9mzzl6RW5y4z0hUK,v-pop|vietnam indie|vietnamese hip hop,50,36239
5y8tKLUfMvliMe8IKamR32,,84,3985994
4fwuXg6XQHfdlOdmw36OHa,,66,1433962
2Bwp23pD4UVsSkchHDZw4F,vietnamese hip hop|v-pop|vietnam indie,52,487851
5M3ffmRiOX9Q8Y4jNeR5wu,v-pop|vietnam indie|vietnamese hip hop|vinahouse,57,623224
0tBmmwc8j8zbJxISwdsvjA,v-pop|vietnam indie|vietnamese lo-fi,53,392566
4tuJ0bMpJh08umKkEXKUI5,,88,5771011
0lAWpj5szCSwM4rUMHYmrr,,79,10334808
2RQXRUsr4IW1f3mKyKsy4B,,85,4102929
7gRg6C2qgQ1F01k3sgyEVt,anime|j-rock|j-pop,60,662296
3ApUX1o6oSz321MMECyIYd,,64,795899
6XyY86QOPPrYVGvF9ch6wz,nu metal|rap metal|rock|alternative metal,90,30041409
246dkjvS1zLTtiykXe5h60,,90,47006926
47mIJdHORyRerp4os813jD,,80,2066454
1ZnuqrjIR4q8zhgriUYsSo,anime,54,187384
4gdC9UZoMCTxadKzTCNKis,,12,35
3PhoLpVuITZKcymswpck5b,,84,14880666
6XYPDozxzEi0iu380aAYnL,thai hip hop,54,455323
3daM7asS0gCFvyLemNx2EE,power pop,57,451418
1tPvAgAmMBoYCHl3zVHhvn,,24,61
4r63FhuTkUYltbVAg5TQnk,,80,12660683
3HXLY1sNXIxHfulrjPiRf5,,47,186366
29cqzCUpFbHFEeNhfD7Tla,,13,9
6MDME20pz9RveH9rEXvrOM,,77,5837996
0L8ExT028jH3ddEcZwqJJ5,funk rock|alternative rock|rock,85,22526282
70BYFdaZbEKbeauJ670ysI,post-grunge|alternative metal|rock|acoustic rock,74,4391343
6Chzc8bFbzWJ2q4SgwG5uV,,27,2737
7MhMgCo0Bl0Kukl93PZbYS,britpop|madchester|alternative rock,70,3761789
4qVKiA168f8kE2zKINggT0,afro house,50,7310
3yQygCog35F0KEGrDPcPsa,,13,9
4o5CAOneBHnSPYP18eVHNK,,15,3527
3YQKmKGau1PzlVlkL1iodx,,85,25396492
6nf7iwR6AoROxfUKZWd1r6,power metal|melodic metal|symphonic metal|metal|heavy metal|speed metal|folk metal,47,120873
7jdFEYD2LTYjfwxOdlVjmc,,72,1965970
2VSHKHBTiXWplO8lxcnUC9,,62,659301
2I4xTYL2IlFVhB3NrYUd8W,freestyle,32,21009
6eXHRfK9Ad3IpMpSAqvcDf,mexican hip hop|latin hip hop,73,3251620
1ALcjEvMc4tLpPPNifjjFD,,24,638
008PpLcKUtVXle6JSwkq3I,hindi hip hop|desi hip hop,58,5024329
0jxGPRjBD9ofybNRoB14dc,k-rap,29,5598
0wqus4nTxIoJvLZLwBt8Df,vietnamese hip hop|v-pop|vietnam indie,49,149437
0FnDCrmcQT8qz5TEsZIYw5,j-rap|j-r&b,62,330362
