id,name,artist,artist_id,album,popularity,duration_ms,explicit,release_date
6rsDkvbgiAkMWWudkR57IP,From This Moment On - Pop On-Tour Version / Remastered 2023,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Greatest Hits (Remastered 2023),69,237939,0,2023-11-17
4nXrVH5xwN1w6TpmP7uu8n,Exit Sign,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,71,201589,0,2023-10-16
7vLycr1Tkvs8y75zEysCuN,drop pop candy (feat. 鏡音リン&巡音ルカ),GigaReol,3UVC7gRDvB44DLq56iF1r9,初音ミク「マジカルミライ 2023」OFFICIAL ALBUM,38,227000,0,2023-07-26
1o6cYDMHvKOfizi4d9Lqxr,id 072019,W/N,6NF9Oa4ThQWCj6mogFSrVD,id 072019,66,271704,0,2023-07-31
2uMUqw3lbW2p9j123KpklO,Chandelier,Sia,5WUlDfRSoLAfcVSX1WnrxN,TikTok Pop Hits 2022 | 2023,44,218226,0,2022-12-16
5C1O3fpMsiisJpHiB1uuDf,ĐỢI (Prod. RIO),52Hz,1y28JlO6rDMUB5rkcA4RAh,ĐỢI (Prod. RIO),64,197000,0,2023-12-15
42GbsW1QgJu1AA68SKSCOA,Pop Music 2024,Clean Pop Music,3JWanDWTtkHRjViiNylONv,No Lyrics SFW Pop Instrumentals,22,125375,0,2024-07-02
1EmMFSLRVkOszCa4ul9z0F,3107 3,W/N,6NF9Oa4ThQWCj6mogFSrVD,"3107 3 (feat. Nâu, titie, Dươngg)",63,240000,0,2021-07-31
3QIZxhtWkPLlHjIjZKkctC,Pop Beats No Lyrics,Clean Pop Music,3JWanDWTtkHRjViiNylONv,No Lyrics SFW Pop Instrumentals,22,122011,0,2024-07-02
33S16Xa5cZmLPhn6eZI4Nm,ĐỢI (SPECIAL VERSION) [ft. WEAN],52Hz,1y28JlO6rDMUB5rkcA4RAh,ĐỢI (SPECIAL VERSION) [ft. WEAN],63,199278,0,2024-01-31
0mjBcXZS8JGscQn19k3V51,Forever And For Always - Pop Red Edi / Remastered 2023,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Greatest Hits (Remastered 2023),52,246074,0,2023-11-17
5xuaCJaNAqRLwV7OO5zPiF,3 1 0 7 (feat. Duongg & Nâu),W/N,6NF9Oa4ThQWCj6mogFSrVD,3 1 0 7 (feat. Duongg & Nâu),63,234938,0,2024-06-26
1jmyacJEboHQuKDX81MjGV,Poppy,El Train,5q4pPTzefHs5kUuBSQSHbJ,Chillhop Essentials Summer 2023,22,168913,0,2023-06-06
45PPoUgqs3JrhkZGEzSUHT,"3107 4 (feat. Erik, Nâu)",W/N,6NF9Oa4ThQWCj6mogFSrVD,"3107 4 (feat. Erik, Nâu)",61,213913,0,2022-07-31
4yckjr3kgnJzoCNNelsJU4,here with me - instrumental lofi,Lowfie,4QC0ZIhtfKdj6Y8YdXoy8x,"lofi covers of popular songs 2023, vol. 7",45,96590,0,2023-03-06
4jqkzUCbtRiQnWB0mLFNV3,Rockland,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,Relaxing Music 2023,6,217368,0,2023-03-14
6mGcGybclF4U7CmUWxF1QI,Khế Ước,The Flob,0u5ikKYYDO2XGyYjNGQRGf,TRỜI ĐÁNH TRÁNH TA - TA VA TRÚNG NGƯỜI,52,259252,0,2024-11-28
41zEGbDBB1TujCIctzReQv,Stick Season - Live From Red Rocks / 2023,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Stick Season (Live From Red Rocks / 2023),0,333132,0,2023-09-15
6Wsn7kzyGrd1IVi6X4f0tU,Phòng 663201,The Flob,0u5ikKYYDO2XGyYjNGQRGf,TRỜI ĐÁNH TRÁNH TA - TA VA TRÚNG NGƯỜI,41,261881,0,2024-11-28
22ndPp0OYgwaUEx8TNb9cQ,Rockin' the World - JUST LIKE THIS 2023 Live,SPYAIR,7gRg6C2qgQ1F01k3sgyEVt,JUST LIKE THIS 2023 (Live),27,118053,0,2024-02-28
27okvpcgpfODYvseTAdnYs,Limo,Thắng,1oD9fKbb7qQ2nhn9JJC24F,Cái Đầu Tiên,42,154838,0,2023-04-30
42a5iCfQr1YUTOIFvglopN,Common - Live at The Hard Rock NYC / 2023,Quinn XCII,3ApUX1o6oSz321MMECyIYd,Common (Live at The Hard Rock NYC / 2023),0,199749,1,2022-08-05
4fQXfAGpVk0igTxVlzeHY0,232 Tuổi,The Flob,0u5ikKYYDO2XGyYjNGQRGf,232 Tuổi,34,223990,0,2023-05-17
7J12yLVrXEIWm7bHaGS1um,rockstar,Post Malone,246dkjvS1zLTtiykXe5h60,Best Rap Workout 2023,13,218146,1,2023-09-20
06mzDTYkBVBfWlzinhom9I,Gieo,Ngọt,0V2DfUrZvBuUReS1LFo5ZI,Gieo,39,207516,0,2022-11-25
5H9cj98UeZQVkmDPa8Yt2l,Backpack - Live at The Hard Rock NYC / 2023,Quinn XCII,3ApUX1o6oSz321MMECyIYd,Backpack (Live at The Hard Rock NYC / 2023),0,195144,1,2023-04-07
5fhqSTd9wtW1R0MCcFEGiG,Ánh,7UPPERCUTS,7BWNm2hXOL9wEuinNnWpxy,7UPPERCUTS,29,193561,0,2024-12-11
6lu7GOPgl5bsyDEBqJ1on2,ロックンロールは鳴り止まないっ - 2023 Remaster,Shinsei Kamattechan,1ZnuqrjIR4q8zhgriUYsSo,聖なる交差点 (International Version),9,230613,0,2023-11-15
4ELzJe4u4oxWSriDkdH9K4,Rock Hạt Gạo,Phương Mỹ Chi,1BcjfrXV4Oe3fK0c8dnxFF,Vũ Trụ Cò Bay (Deluxe Version),34,185653,0,2024-08-22
1oq38oE6AoUa9tALYCtVMr,"Crocodile Rock - Live From Glastonbury, UK / 2023",Elton John,3PhoLpVuITZKcymswpck5b,"Crocodile Rock (Live From Glastonbury, UK / 2023)",0,254930,0,2024-06-17
2CWACmptsvVIJOImkbWod3,Sample Hip-Hop Type Beat 2023 - Freestyle Beats 2023,Type Beat,2I4xTYL2IlFVhB3NrYUd8W,Freestyle Beats 2023,22,90467,0,2023-02-13
2m3Fqmw1mfs39KklPmjq79,Por Mi México (Remix),Lefty Sm,6eXHRfK9Ad3IpMpSAqvcDf,Por Mi México (Remix),75,405000,1,2023-08-24
6D94p9ASguBcYlDC0o56vx,NOLOVENOLIFE,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,65,170898,0,2023-10-16
0NPW0CDbABaa6QjdZgT9oi,Chill No Lyrics Gaming Music,Chill Gaming Playlist,1ALcjEvMc4tLpPPNifjjFD,Gaming Music Playlist 2023,10,90566,0,2023-01-21
0rcb8gZqXRBSXzQfylEjCS,KOTS - Freestyle,Emiway Bantai,008PpLcKUtVXle6JSwkq3I,King Of The Streets,29,182680,0,2023-06-09
3IuxFX3kzxDRv4t9anPo43,0 AI NGHĨ,Wxrdie,1Jmkhzve9TuXHUUWGmpANw,0 AI NGHĨ,60,190502,0,2023-03-16
06pLWymQgyRpvFq5Z46cGg,Chill Music For Game Night,Chill Gaming Playlist,1ALcjEvMc4tLpPPNifjjFD,Gaming Music Playlist 2023,31,90566,0,2023-01-21
6xRrWMkeXjRTdhpO8bvD4Z,"STREET SINGER REMIX (Feat. 노윤하, 던밀스, 가오가이, 키츠요지, 오담률, 허성현)",CHERRY BOY 17,0jxGPRjBD9ofybNRoB14dc,"STREET SINGER REMIX (Feat. 노윤하, 던밀스, 가오가이, 키츠요지, 오담률, 허성현)",31,359268,1,2023-12-29
7fNHfgOxPLcg4mQLhCnOHB,XTC (Xích Thêm Chút) (Remix),Rapital,0wqus4nTxIoJvLZLwBt8Df,Rapitalove,62,243750,0,2021-06-21
4QxeKYJRwXWS1OGN7OnH5M,Song For Gaming,Chill Gaming Playlist,1ALcjEvMc4tLpPPNifjjFD,Gaming Music Playlist 2023,13,103504,0,2023-01-21
2BHMUxVdjuK9zKPmocIX56,Bad Bitch 美学 Remix,Awich,0FnDCrmcQT8qz5TEsZIYw5,THE UNION,53,369111,1,2023-10-25
3ER1r0HipeSSu7YNImC6vd,Bước Za Đi Xa,Wxrdie,1Jmkhzve9TuXHUUWGmpANw,Bước Za Đi Xa,60,168774,0,2024-09-18
2aSLX2NcCyAkgxwSzZWVa9,2023 Gaming Top Hit Sounds,Chill Gaming Playlist,1ALcjEvMc4tLpPPNifjjFD,Relaxing Somber Lofi Hip Hop Music Mix For Gaming Streaming & Chilling,8,105818,0,2023-03-19
5G8k8hzay7e6FUrkTNmymV,Înapoi în viitor 1995,Vlad Dobrescu,0bypMpAgjSZJaThtP1oqFV,URBANIST SESSION,19,85165,1,2023-11-13
3MlvHVRytWiXpSHEeZVF0I,1TINHYEU (feat. Hustlang Robber),RAP VIỆT,1cPpd989kghzlZqfpP4KwL,"RAP VIỆT 2024, Tập 13",52,220740,0,2024-12-03
6IUEwlNgVnT5CYeBuq6DTH,"Anh Là Ai? (feat. Dick, DT & UMIE)",RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 8,50,223783,0,2023-07-16
0x5BqH8iC2Y2lTMxAkNAna,Từ Chối Hiểu (feat. Quang Anh Rhyder),RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 13,53,204800,0,2023-08-20
265hQASPY3HFmUH38zZrSK,MOIEM,Dangrangto,5xY6E5PMZNtz9jDvxTRiGI,MOIEM,67,191834,0,2024-11-06
3ZoK6tTPWeFkS1DY4R7EFq,Rap 2023,DJ Edm,6vRzxK1ozI3LHvgmF7c4jF,"Top 50 Best Underground Beats: Mix Dj (R&B, Hip-Pop, Pop, Freestyle, Dance, Trap Beats)",0,204943,0,2023-07-10
0FyxNqSuOlxcGSEfANCFyL,SERENATA RAP 2023,Kratos Guerrero,74GISWxzZnC7FsWIkczYFy,SERENATA RAP 2023,0,673165,0,2023-10-26
6mCz0xmwZDCvZrCMtPwqyt,Rap 2023,SoundsWorld,6yOmbYsMqNFdaL7uUlmTDA,Best Trap Ringtones Vol. 2: Bass Boosted Rap Mix 2023,0,162000,0,2023-02-28
6SdPpLl72QarBuaxv7FNGw,Sống Cho Hết Đời Thanh Xuân 4 (feat. Dick),RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 13,52,260351,0,2023-08-20
5K2VTtm9skwbbVP54E0I4E,Rolling Down (feat. CAPTAIN),RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 13,51,214154,0,2023-08-20
6eSlXikHAenLlpmXKDFtYb,Nhạc Trap Căng Nhất 2023,Wxrdie,1Jmkhzve9TuXHUUWGmpANw,420ent.,54,213523,1,2023-04-20
486dVHo58R4EhBQjcYF2NX,Khi Cơn Mơ Dần Phai (feat. Tez & Myra Trần),RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 15,52,195840,0,2023-09-03
27AEQr4wqfHyVpwgFgnGs6,Mời Em,Wxrdie,1Jmkhzve9TuXHUUWGmpANw,THE WXRDIES,63,203687,1,2024-11-12
0jV9S5sUnQSEvwMSXQ2u4l,"Người Được Chọn (feat. B Ray, 24k.Right, Dick, CAPTAIN & Đạt G)",RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 16,47,318066,0,2023-09-10
2isixFfWHFAtregdld4WnR,Trippy Love,Vexento,3tYJfCciy07wTBt2HpjCQw,Best of Vexento 2023 - Favourite Electronic Gaming Mix,18,212112,0,2023-11-28
6Ch4rpmyYnNf2HAfsXu9uX,Ngau Hung,Hoaprox,3tuxyjTQrEDsF0pV0WbqyR,Ngau Hung,43,75697,0,2018-01-01
0mj41slOMwPibJjOAG6SNR,Hearts & Love Emojis,La Mejor Música Electrónica,3EG7jJRApBO7i8o94Dw1Uh,Música Para Ejercicio 2023,4,134048,0,2023-01-18
0rw2up89gUnQRD8mUXjrm1,Limitless,Elektronomia,7qgorhDacy1FRz5HkAhDtu,Limitless,55,244692,0,2017-03-14
59WkQNUp555fTA3n7mXnrY,Downtown Crusaders,Mix Electrónico de Año Nuevo,180fUTOBitzZ8KzsVqjFcn,Fiesta Fin de Año 2023,15,138899,0,2023-12-01
5K2uBoV39y2mJ4KAYzcJps,Summersong 2018,Elektronomia,7qgorhDacy1FRz5HkAhDtu,Summersong 2018,48,226518,0,2018-06-15
78NgxSKFhFTTQOz1byNGgb,Electronic 2023,NCS Epic Music,3ZBV0gUEnRaiAuadgsmXPl,Electronica,2,238899,0,2023-03-24
3YHUWYNglROv97GqGlCy7T,Aurora,Hoaprox,3tuxyjTQrEDsF0pV0WbqyR,Aurora,21,188571,0,2023-04-29
7smeCoE1WaiGSLJmXo1M7s,Electronic 2023,HabZone,7icbzqnPWc4RkZg4po32wT,Be Aware,0,328333,0,2023-08-29
7By2SGgiH1l3GwEf4i90hC,Memory,Elektronomia,7qgorhDacy1FRz5HkAhDtu,Memory,43,255013,0,2021-04-29
0vJ5EsSFsN6j6fKImXSlFz,Musica Electronica 2023 Para entrenar,Yafre Wolf,5w5GmmycbK6p9OXux5sNnb,Musica Gym Electronica,24,92812,0,2023-02-07
2EtdrOqHPBBUqGExIyDnfu,Dooh Dooh,Silver Smoke,4vTxLr74trGJUi6QQAGOdP,Dooh Dooh,23,475348,0,2024-06-20
1IODXFCMXEC0fQfWjbhNPF,Tech House x Techno - Free Beat GROOVE Club Banger Instrumental 2023 | Electronic Rap Beat,Freidbeat,7FyOkfwL9KmBD0Fe4XGO7F,Tech House x Techno (Free Beat GROOVE Club Banger Instrumental 2023 | Electronic Rap Beat),23,188130,0,2023-03-13
21riltMArzY8XcWGk7wGlT,Eclipse,Jim Yosef,40HDiLfKm0tXk2FxlJx6aO,NCS: The Best of 2015,49,237740,0,2015-12-23
2XboCSZoDlpQSppuZWd8Ql,Música Nueva 2023,La Mejor Música Electrónica,3EG7jJRApBO7i8o94Dw1Uh,La Mejor Música Electrónica,22,127500,0,2022-11-14
034AMrX2mfjOd2r04HFbk7,Moonlight dancer - 2023,r-906,7os1UVlIK50EAaP990Z8aE,Lunar Calendar,30,261454,0,2023-05-10
5kvEKWD4YebPudZ5ELnzwP,"Shut Up & Dance - Live from Bayo, New York City/2023",Michaël Brun,1HcAkAeL4xf02wzAnl7mIV,"Shut Up & Dance (Live from Bayo, New York City/2023)",0,228361,0,2023-10-23
7hBAcHpJ3Ui820IDenUcjx,If You Wanna Party (Just Dance 2023 Edition),The Just Dancers,4JWt9oSSKxYYOayFDlJexl,If You Wanna Party (Just Dance 2023 Edition),31,192939,0,2022-11-18
6qyK9SquQSHvNzrGHEUYNV,23:40,Hào,41o2x1AJ6KzUiz6JxYtCtJ,23:40,56,224169,0,2020-12-23
5EegvuITEf6AOwg3kiUMXT,Never Learned To Dance - Live from RCA Studio A / 2023,Medium Build,3C6wmSgnZuqxVQyBWujBsn,Never Learned To Dance (Live from RCA Studio A / 2023),0,257932,1,2023-12-04
70s2Qxe5S61G0PQgLnQhxj,Trót Trao Duyên Remix,NB3 Hoài Bảo,5QbDgpkghCaWjJywjbJnoG,Trót Trao Duyên Remix,49,250516,0,2022-11-25
5x6aiDoFseUOthoNYXGcrW,Dance Macabre - Live at the Forum / 2023,Ghost,1Qp56T7n950O3EGMsSl81D,Rite Here Rite Now (Original Motion Picture Soundtrack),46,328137,1,2024-07-26
7pDF5RgtEQ6Su2mm3bwzo2,Vỡ Tan (Deep House),Orinn,08xn7sYY4KworP8Vc3GoiU,Vỡ Tan (Deep House),43,290253,0,2024-02-28
59BBGvrFltdGaHtf06XsEM,Christmas Dance Party 2023,Holly Jolly,39eJFvfRccrkymEmChAPRK,Christmas Dance Party 2023,0,127680,0,2023-11-11
0vx0Oui8fX3gckYzozazj0,EmmE (feat. Du Uyên),Đạt G,4R3mugkUqCALXgkwSptTbg,EmmE (feat. Du Uyên),47,241983,0,2022-08-15
1rENS47PLnO8c7WIjRCD46,"Calabria (feat. Fallen Roses, Lujavo & Lunis)",Dance Fruits Music,3HphLd0XiELTvIPYf55dYC,Summer Hits 2023,60,128500,0,2023-10-16
64cRrJS0hgqXQypEanyN93,Ít Nhưng Dài Lâu - TVN Remix,Nam Con,3h8Yh3GUF3Slpm7tb1Euk6,Ít Nhưng Dài Lâu (TVN Remix),46,214987,0,2022-04-13
22jhKrCmyT6ekpPQ5fJ1fD,Summertime Sadness,Dance Fruits Music,3HphLd0XiELTvIPYf55dYC,Summer Hits 2023,38,148427,0,2023-10-16
0Z6HUhoUM9CB3IbonXO6Im,Em Xinh Như Đóa Hoa - Remake Version 2025,BMZ,3euFcFd5Dc7JAz6t7oKg7m,Em Xinh Như Đóa Hoa (Remake Version 2025),0,150000,0,2025-05-16
1H5MNG1FVWfWFncGptkSOc,FRESH2DEATH,Sid Shyne,4V2ZuYYkmNUpJVDrkp3oLh,INSOMNIA,27,120026,1,2023-09-08
37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,84,218880,1,2016-11-25
4eeflgjzTF8xN8U2E0dech,NGỰA Ô,Dangrangto,5xY6E5PMZNtz9jDvxTRiGI,NGỰA Ô,69,215415,0,2024-10-02
1dT8R1DLYOVZBMd0KUr2pr,Rebel Yell - Rewind Live / 2023,Billy Idol,7lzordPuZEXxwt9aoVZYmG,Rebel Yell (Rewind Live / 2023),0,326542,0,2023-10-27
4SinziOMDPR58wWHakWP9v,Good Day 2025 (Telepathy + By the Moonlight Window),G-DRAGON,30b9WulBM8sFuBo17nNq9c,Good Day 2025 (Telepathy + By the Moonlight Window),64,242566,0,2025-04-24
72ORHFn7a3OC7FDBOB9Q9S,Contra,CLR,6vCnF48qqPHgVMBEvcbgkU,Contra,14,192482,1,2023-11-17
3W7KHojYGgYaoX9ogKO9hU,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,I.,83,286293,0,2012-07-21
4pE1DzYULn6pgud2WcqNs3,Baby Gọi Cho Anh (feat. CAPTAIN & UMIE),RAP VIỆT,1cPpd989kghzlZqfpP4KwL,Rap Việt Mùa 3 (2023) - Tập 8,46,178252,0,2023-07-16
4sy0nStsM0a8B42SoiUr0v,Below and Above,Minecraft,7i68fmsIERvgavI8Q1H09h,Minecraft: Game Drop 2 - 2025 (Original Game Soundtrack),46,212375,0,2025-05-13
5PBeUklsET8lFGRNFiAl1V,Contra,CLR,6vCnF48qqPHgVMBEvcbgkU,Facts & Samples,16,192482,1,2023-12-04
